Gene Symbol,logFC,P.Value
TNXB,-1.853827255,0.000297274461719305
TNXB,-1.851516331,0.000323139395495547
SNORD116-23,-1.840671753,0.000418795389204512
AKT3,-1.834957392,0.00054682176754981
PI15,-1.830828349,0.0183923560045749
SORBS1,-1.83059756,0.0443993698541899
CDH19,-1.83003002,0.00645434426688676
POPDC2,-1.825522254,0.00816316845780298
PRKAR2B,-1.819725646,0.00122287674646457
DPYSL3,-1.810843352,0.00829295804435002
SLITRK3,-1.807860233,0.0152008636630345
MEIS1,-1.806966533,0.00183510858507021
LMO3,-1.797111502,0.0159561767866067
LOC100132741,-1.791453031,0.00573686491634182
TNXB,-1.785654426,0.000334119408450544
PDK4,-1.785342674,0.0194914748660678
F13A1,-1.783491556,0.00245524457285647
CARTPT,-1.782727595,0.0258975137954487
SNORD116-14,-1.779193059,0.00305645778428936
AMOTL1,-1.777928666,0.00779842170152109
PMP22,-1.777345858,0.000234748325846312
TMOD1,-1.769910622,0.00529144332409589
ARHGEF6,-1.769320162,0.000316546635955541
PRUNE2,-1.763505208,0.0534651091624102
COLEC12,-1.75583293,6.00995208596064e-05
LRRK2,-1.740824934,0.000323181175453538
SCARA3,-1.738660993,0.00178477038326498
C3orf70,-1.725166857,0.0255872675211291
CDON,-1.724734877,0.0225719868361823
SNORD115-22,-1.724494925,0.00131413852595889
MAP1B,-1.722802643,0.0109440902495374
TNXB,-1.720455124,0.000403785408979237
GLI3,-1.71964583,0.00111688790809928
KCNN3,-1.715189852,0.00213038427753146
TMEM150C,-1.71431007,0.00762093629903787
ACACB,-1.709856675,0.00282703437234045
ALDH1A1,-1.707666792,0.0659683906519244
APOD,-1.705263538,0.0106382462647558
SLC15A1,-1.704401446,0.0301385036728937
ROR1,-1.703612349,0.000817125921400999
ADAMTS9-AS2,-1.700371282,0.000450460766557311
ASPA,-1.700244297,4.88905344063686e-05
LPAR1,-1.697800864,9.8729218041515e-07
#N/A,-1.694170672,0.00014372975142943
TRPS1,-1.689124059,0.0010980931601763
BCHE,-1.688202138,0.0131408827221796
NCAM1,-1.683459534,0.00283299800860707
FNBP1,-1.680310784,0.000112606138243252
EML1,-1.678318024,0.0137969643527945
HDGFRP3,-1.677909927,0.0087701496041736
KLHL5,-1.661267049,0.0045163950161139
ARHGAP10,-1.660292424,0.00765422995314191
UGT2B17,-1.658658326,0.157884945292097
ARRDC4,-1.656202356,0.01451312981546
SNORD115-34,-1.65505723,0.00156356787044832
CHRM2,-1.653191359,0.0272607293869836
DCLK1,-1.651482252,0.000447210068836575
LIX1L,-1.650750881,0.000264296250861736
ABCC9,-1.64881087,0.0243833238716648
OTTHUMG00000058670,-1.648624078,0.0158650274312456
ZNF667-AS1,-1.648472921,0.0100287743810699
PDE7B,-1.643929791,9.82034364336484e-06
GREM1,-1.638818341,0.017830508609595
PCSK5,-1.636133816,0.000636493606201826
MMP10,1.635707618,0.000631402991995506
JAM3,-1.634644302,0.00597512626592637
C20orf194,-1.633611045,0.00120033658144728
NNAT,-1.626317309,0.0346230879009942
CCBE1,-1.625740469,0.0182996899608757
PCDH7,-1.624715808,0.0119967367050445
QKI,-1.623904076,0.000306218647734937
BTG2,-1.62381919,0.00426440515799264
OTTHUMG00000019965,-1.621760342,0.0362505376535054
TMEM35,-1.621733321,0.0165470138749253
DTNA,-1.618525897,0.0031614570369332
CAV1,-1.61809331,0.0160885352573764
ZEB2,-1.615219047,5.24203965258173e-06
AKAP12,-1.612185634,0.00522743572365007
MT1M,-1.607179813,0.0102063095950413
KANK2,-1.606879792,0.00952400696504296
EBF1,-1.601142011,0.00624895467255167
RAB23,-1.599739299,0.081023408056521
SNORD116-24,-1.597438738,0.000372832291802053
SCN9A,-1.596049966,0.000259564020612688
MT1JP,-1.594396759,0.00458200914365617
EPHA3,-1.592419738,1.13896138695789e-05
MIR21,-1.585607691,0.0230890468993395
LINC00641,-1.583147668,0.00174757608992482
ASB5,-1.582293716,0.0407388966966727
SLC8A1,-1.580429359,0.0211738849097009
METTL24,-1.57851077,0.00633291302157279
KCTD12,-1.571978431,0.0178816349521326
GFRA1,-1.571781545,0.00171329924940706
STEAP4,-1.571635046,0.00545170246899587
CCDC69,-1.570173723,0.000275192549321509
FAXDC2,-1.569677837,0.00645567886658367
AKAP6,-1.568428769,0.0146779587791371
EGR1,-1.562740869,0.0385215157965153
GPX3,-1.558532144,0.00111650245034774
NR4A3,-1.553520497,0.0536219172313437
ANXA6,-1.553138257,0.00139490089027295
RBMS3,-1.548326691,0.000372596923866517
SEMA3D,-1.546874072,0.000346835421828021
SYT11,-1.546589328,0.00148009887343885
FOXF1,-1.544186842,0.00249232564823849
ARHGEF26,-1.542362556,0.0298855616315084
ATP1A2,-1.542265786,0.0106919465891595
TRPM6,-1.53746003,0.0781204915840831
ZNF483,-1.536153631,0.00187404880291235
PRICKLE2,-1.532279185,0.0277904201758384
SNORD116-15,-1.532063505,0.000662436387235574
PLIN4,-1.52909561,0.0227169978908002
MSRB3,-1.526520764,0.0116059435351865
LRCH2,-1.526487769,0.0139914465416139
EMP3,-1.525211285,0.000616304389753073
MAP1A,-1.524938566,0.0335700942250512
SNORD115-5,-1.52489391,0.00345071739586525
SNORD115-12,-1.52489391,0.00345071739586525
SNORD115-12,-1.52489391,0.00345071739586525
KLHDC1,-1.52192926,0.000100669683155408
FIGN,-1.521038657,0.00175302376973796
OTTHUMG00000164860,-1.520459434,0.00187439062499806
TSPAN2,-1.518583211,0.0921081352940543
ADIPOQ,-1.518384244,0.11871654726662
SLC30A4,-1.518302348,1.31178578022163e-06
MATN2,-1.516803194,5.47601151517563e-05
MT1L,-1.513919823,0.000992366236952082
SLC26A3,-1.512812716,0.293074511476291
TXNIP,-1.511763307,0.000740301425456924
ITIH5,-1.508477357,0.00183330992358322
TPM2,-1.50572779,0.0431209384956939
PHLDB2,-1.505101673,0.0128792044125453
PCK1,-1.504661814,0.0455006598306707
ARHGEF25,-1.503421512,0.0066824109052097
UST,-1.503051226,0.000194039626425277
CHL1,-1.499127696,0.000376745605384537
STMN2,-1.492771616,0.000704180545680673
CR1,-1.491527684,0.0399093300013282
MT1H,-1.491109857,0.0278764444590837
CCL11,-1.490658074,2.98081062336896e-05
SNORD116-29,-1.486800144,0.0024015875868166
SNORD107,-1.48566737,0.00010599250248863
CD109,-1.485368743,0.0309145979953407
SNORD116-20,-1.481376493,0.015906670503329
FRMD3,-1.479871264,0.000275145960609826
SNORD115-6,-1.478125263,0.00109051181111383
CFD,-1.476993835,0.0285224321537038
SMYD1,-1.473706402,0.0418639336413839
CCDC88A,-1.472697482,0.00118593579122044
MIR4451,-1.471552474,0.0180037307951439
HTR2B,-1.466824757,0.0476115175421688
FNDC1,-1.46575676,0.020774558602003
ZFHX4,-1.464580321,0.0277063822105101
LINC00578,-1.459121115,0.0491970653002703
GSTM1,-1.458349128,0.000777249198026454
TNXB,-1.45721364,0.000527593022266895
MT1A,-1.456188296,0.0125550000891038
PTPRM,-1.455820075,0.000358599526898826
CA4,-1.454357384,0.0743180653019924
MEF2C,-1.454169808,0.000736471533455244
GEM,-1.453180535,0.0342147961005007
GUCY1B3,-1.452123927,0.0125462146657867
TNXB,-1.45172762,0.000692859879868264
CRYAB,-1.449246821,0.0201780805191743
AQP8,-1.446865485,0.141556411287548
PYGM,-1.442781488,0.013646726175969
PGM5P2,-1.442387381,0.00730393965564099
TGFB1I1,-1.442121939,0.035509915146263
FOLR2,-1.440941685,0.000368097022621469
KPNA5,-1.43317373,0.000554494790313158
#N/A,-1.432497554,0.0425653259052346
PEG10,-1.427621928,0.00644618160896319
ANKRD44,-1.426579798,0.00611002496863369
RAP1A,-1.425871332,0.000991643810691107
BCL2,-1.425615737,0.000750478769602611
MS4A1,-1.423081447,0.264126158912904
FAXC,-1.421571003,0.0360034422066324
ITPR1,-1.420179916,0.00151936671659658
MMRN1,-1.418466571,0.0154894817019669
LINC00702,-1.415252749,0.0637347602725943
SNORD115-42,-1.414371672,0.00067923149215804
LONRF2,-1.413573522,0.0101928533634257
MYO5A,-1.410859437,0.000170342179374549
CD24,1.410515755,0.0159748433115743
PJA2,-1.410156624,0.000209880997422796
TNXB,-1.410000275,0.000698496914460778
TNXB,-1.408671933,0.00075048098635771
RGS1,-1.408551277,0.000981102836431655
EFEMP1,-1.405139669,0.0157286263900647
METTL7A,-1.4050648,0.00163701588800974
CLDN8,-1.40380539,0.150936382985552
PTPRS,-1.402537141,0.000163514758104769
DNAJB5,-1.401354375,0.0145659196108803
SNORD116-13,-1.398247412,0.00384841220375508
FAT4,-1.397710909,0.0382125804724141
PTPLAD2,-1.396499077,0.000676188227851354
PPAP2A,-1.395723375,0.000925658989351113
CACNA1H,-1.395506584,0.0379283364387526
GCNT4,-1.392686594,0.00257668559549729
BCL6,-1.389986627,0.00813211111803441
P2RY14,-1.388043767,0.00220479892985243
MIR4524A,-1.387325448,0.000763462411101004
CALD1,-1.384357069,0.0491356792473208
#N/A,-1.383045748,0.00664606956666949
FDCSP,-1.382465701,0.280714436691081
CLIP3,-1.3813294,0.00169257540558829
SNORD116-17,-1.381217102,0.00180850803456466
TGFBR3,-1.381169083,0.00929504283060126
ASB2,-1.379683508,0.000641725547226757
PLEKHH2,-1.378942554,0.00319940361405404
LOC286437,-1.377250922,0.00304393511345524
DISP1,-1.374936996,0.00253426724401123
RIMKLB,-1.372786744,0.000731042580037452
MRC1,-1.372706738,0.00834417035091736
LPHN2,-1.371917819,7.42573614401634e-05
MEP1A,-1.370665898,0.205186148986116
CLIC4,-1.369477441,0.00714201262023734
MAP7D3,-1.368369088,0.00293573173587879
DOCK11,-1.366524169,0.00540168346403353
ANGPTL7,-1.363922892,0.00519004070207093
FIGF,-1.363904978,0.00987169615507691
MRC1,-1.361407939,0.0077765747767383
NRXN1,-1.360376678,0.000870903084516371
MT1E,-1.358334651,0.00298040460274216
CD69,-1.355372825,0.00974065220950507
MT1CP,-1.349277102,0.0129334093034701
PER3,-1.34707858,0.01784477691144
FAM171B,-1.346230704,0.00501220346882286
RNF122,-1.345979135,0.0023154749266361
PPP1R18,-1.345303186,0.00338559030349046
ASXL3,-1.343818116,0.00967400074972877
BNC2,-1.340634683,0.00823483731860588
CYR61,-1.33903958,0.0336194351728359
ITM2A,-1.339017545,0.00110804994354325
ATP1B2,-1.336691236,0.00118099174405274
THBS4,-1.336486018,0.0288917233026915
PPP1R12A,-1.332736085,0.00913228281383615
FLRT2,-1.332709933,0.00199762937233083
CSRP1,-1.332690294,0.0415212514322776
VGLL3,-1.331255625,0.0230346515790338
FAM49A,-1.328028481,0.000320264373172916
CR2,-1.327680351,0.254106743324771
PDZRN3,-1.327327184,0.0127609246100656
ADHFE1,-1.327100889,6.51646716492719e-06
SEMA6D,-1.3266475,0.00196762129201888
CHRNA3,-1.325595364,0.00303643656757429
TMTC1,-1.323871597,0.0127949244788846
ABCG2,-1.322986675,0.0174999882194195
ZC3H6,-1.321939616,0.00176843886452553
ZNF134,-1.32036592,0.000329132498031402
SVIL,-1.316917586,0.0833415841649515
FENDRR,-1.316381011,0.0150413481595365
FHL5,-1.314620204,0.0882518258732749
MEIS3P1,-1.31348427,0.0198971043192165
CDR1,-1.310934952,0.00437223968657244
FZD4,-1.309519333,0.0153347332943519
SMARCA1,-1.307611747,0.0287485710092105
RASSF2,-1.306101246,0.0143263044209756
CPXM2,-1.305919081,0.031099762857926
ZG16,-1.305845734,0.167677043622537
ITGA5,-1.304415405,0.0996117162553954
HLF,-1.300352966,0.0106776382964176
PBX3,-1.299173817,0.0163287314886888
HCFC2,-1.298331333,0.00753600175693457
GREM2,-1.297869757,0.000360398737738289
C4B,-1.296550797,0.0151688967616288
CREBRF,-1.295799869,0.000122579385601403
NPY6R,-1.295110605,0.0323041967929771
MXRA7,-1.294579571,0.030775882665577
TBC1D1,-1.292943068,0.00548511408109425
DGKB,-1.291305537,0.0401688646150706
MITF,-1.28983467,0.00700245811289034
MID2,-1.288561046,0.0226368453147797
C4B,-1.286090901,0.0153147809723353
MUSK,-1.285626205,0.00293287596396781
C4B,-1.284593614,0.0155639715830846
SNORD109B,-1.283995761,0.00299041516187391
SNORD109B,-1.283995761,0.00299041516187391
SEPT6,-1.28355421,0.00213291054906921
C4B,-1.283304314,0.0155905843303348
KAT2B,-1.283081093,0.000910999324443784
C4B,-1.282405663,0.0155777460761215
RUNX1T1,-1.282066085,0.00321592308013605
C4B,-1.280758904,0.0156400499090437
EZH1,-1.279510063,7.00259960410602e-05
C4B,-1.279408638,0.0157754769895196
GSTM5,-1.2788049,0.000295662270464641
DUSP1,-1.277363615,0.00739019686010936
CRYBG3,-1.275599813,0.0353624168033408
STOM,-1.2744319,0.0190921146376181
CA1,-1.273982954,0.150525424474848
OTTHUMG00000002706,-1.273726549,0.0276111205289451
LDB3,-1.270960962,0.0135139974514669
PALMD,-1.269619902,0.0316738298433323
SMAD9,-1.268877979,0.00223984583617424
RHOJ,-1.268397577,0.00422003582007949
CAPN6,-1.264988528,0.0280051372231594
MT2A,-1.264368574,0.00524857758858338
CADM3,-1.264342935,3.88188104125384e-05
TCF4,-1.263718443,0.000437388920024901
HPSE2,-1.263571247,0.000497971296618845
CHST15,-1.263267328,0.000902696507347259
SNORD115-16,-1.263104577,0.00228035798471708
PDE3A,-1.262947381,0.0531246987657001
OTTHUMG00000019964,-1.26205113,0.00030690513113098
PRKD3,-1.261669146,0.0103294840682626
STARD9,-1.261657922,0.00118951649360783
GSTM2,-1.261205655,8.46463816302617e-05
HOXD10,-1.261201047,0.0575004604213227
TSHZ2,-1.258275347,0.0112892643172146
CITED2,-1.257536359,0.000969305043726089
SH3BGRL,-1.256788817,0.00556828054735519
ENPP2,-1.254722422,0.00773618126688448
PYGO1,-1.254373472,0.0196512526282957
SLC17A4,-1.254075245,0.0934866135751916
GPR155,-1.252051976,0.00492977341052475
OMD,-1.251489086,0.0203018758331068
ITPKB,-1.250846634,0.00237740538518439
LOC101060026,-1.250578303,0.00439103724793134
C4B,-1.249906463,0.0163131451955672
CYBRD1,-1.24962785,3.90540241622181e-05
OTTHUMG00000164793,-1.247747622,0.156366645980292
CNTN1,-1.24732554,0.000223749893302665
FOS,-1.246957846,0.0462179474247111
FGF10,-1.244876494,0.00929705703046554
NR3C1,-1.244429299,1.63333726274561e-06
#N/A,-1.243910969,0.00474355541686288
CEACAM1,1.243186503,0.116973692422544
FZD7,-1.241758044,0.0890002946152727
PREX2,-1.240101804,0.00205075932018439
APOB,-1.238195309,0.177658614422603
CD177P1,-1.238074173,0.203445522714025
MRVI1,-1.235516132,0.0232580161371731
HMCN2,-1.234739244,0.0475800136133454
KIAA1644,-1.234058715,0.0216769166892803
RCAN2,-1.233491277,0.000485352262707409
SNORD115-44,-1.232107872,0.000818895962170052
CD36,-1.231056608,0.00346478318666584
NAP1L3,-1.231053211,0.00407658929622166
NCKAP1L,-1.230527053,0.0198435696175994
TNC,-1.230014456,0.123507919413893
RGL1,-1.228602341,0.000536439258026783
PRKG1,-1.22853877,0.0269519151282308
ANKRD12,-1.228140513,4.22292538214736e-05
TAF9B,-1.22774885,0.0134623615675469
CES1P1,-1.227300499,0.00865751985415267
OTTHUMG00000160277,-1.226991053,0.176816788572274
LDLR,1.22687534,0.0252581227859338
MASP1,-1.22603849,0.00602906807329714
EPB41L3,-1.223045554,0.000950314358403204
MEOX2,-1.222649913,0.00229298248811759
VCAM1,-1.222157072,0.0123657706361858
SERPING1,-1.221484596,0.00429372754774531
GATM,-1.221008757,0.00696140418905947
GTF2IRD2P1,-1.21608889,0.000266156955073141
IL6ST,-1.215625734,0.000367701665654625
PBX1,-1.215534017,0.0115520246032285
GNG2,-1.215170754,7.98602576350813e-05
CLIP4,-1.21454001,0.000256445259077959
FAM65B,-1.213993256,0.0911129787848346
ZNF25,-1.212964154,0.00825075539139215
SVILP1,-1.212871915,0.0593191501165033
RASSF8,-1.212330224,0.0310593099126868
MT1G,-1.21107567,0.129267299847285
P2RX1,-1.210048597,0.00514024385606104
BOC,-1.209796233,0.00442721168078887
SNORD115-1,-1.20916387,0.00352000118301793
AS3MT,-1.206268728,0.012302166039164
LINC00294,-1.204478282,0.00445177921222119
TRPC1,-1.201170676,0.015029732409573
C4B,-1.200887142,0.0164736306400586
ST6GALNAC6,-1.199946275,0.0218655470872479
ADCY5,-1.198445343,0.00375139383167588
LOC100505573,-1.19808373,0.0315176736472671
SMPX,-1.197717771,0.0869565317221147
OTTHUMG00000035808,-1.197632823,0.012885949633558
SEMA3E,-1.196237598,0.0104440360640556
SNORD93,-1.196060913,0.0146777895154366
F8,-1.195717037,0.0175400389537392
PRNP,-1.193851664,0.0387843407957391
#N/A,-1.192361506,0.0503606874122749
HPGD,-1.192305323,0.00120566515218561
MAPK4,-1.191475065,0.0333131333943316
SNORA11,-1.190699821,0.00063297431813433
CACNA1C,-1.190364168,0.0641247521809709
ITGA7,-1.189752456,0.0235205140828619
LSAMP,-1.187561362,0.00605440230786747
IL17RB,1.187038291,0.00266129318851627
DAPK1,-1.186017462,0.00245348689625951
GLIPR2,-1.186007379,0.00048656191945929
AFF3,-1.185293264,0.00237701673238906
GPC6,-1.184484758,0.01443641039994
NPTX1,-1.181991434,0.0373129978247617
C21orf88,-1.181020852,0.0700313908156419
MN1,-1.180346244,0.0291580697989452
TCEAL7,-1.179931414,0.00642612365186261
COPZ2,-1.17910226,0.0211400263432291
PDE1A,-1.178252439,0.00779953267936806
PIRT,-1.17753036,0.00243264218162088
ANKS1B,-1.175626377,0.00854575489543198
KCNMB1,-1.175498579,0.0198529218021033
LRIG1,-1.174689029,0.0334440507430809
THRB,-1.173840028,0.00815332852399666
MIR4697HG,-1.173761188,0.0343146675125337
SNORD71,-1.172742363,0.00221585541511537
NRP2,-1.17106874,0.0729680418715601
SLC35F1,-1.168692379,0.0158551867746949
FN1,-1.16827134,0.132942125283721
PTRF,-1.168253241,0.0223382775790607
PNRC1,-1.167698388,8.18664586379575e-05
NR4A2,-1.167381045,0.0946159598418187
RNF152,-1.166699005,0.0111469092159234
CC2D2A,-1.165475104,0.0374996593541433
CD177,-1.165439574,0.163670561688332
TENM3,-1.165042689,0.00627268867013762
PTBP2,-1.164220353,0.0304935994604262
PLCG2,-1.162946913,0.121220425641159
TRANK1,-1.16271053,0.0300663715807747
ANTXR2,-1.162588388,0.00286485620256246
SPG20,-1.161690603,0.00863706120414046
ATP8B2,-1.161544067,0.000335915579394726
UTRN,-1.160678381,0.00186184807091217
OTTHUMG00000160053,-1.15880151,0.00478971341671852
CFH,-1.158390884,0.0166130943880207
RSPO2,-1.153904552,0.000767762418373132
ITLN1,-1.153225086,0.188875594982305
IGF1,-1.151249967,0.00775890247908462
SYNE1,-1.150807714,0.000968511285768377
DSEL,-1.150633431,0.0197537922234244
MBNL1-AS1,-1.150588306,0.0190094776131941
TMEM255A,-1.150389486,0.00213922780006587
SNORD116-11,-1.149070985,0.00243405520317872
NCS1,-1.14905001,0.160067545778502
SCGN,-1.148026815,0.00134348211185633
DIXDC1,-1.147667733,0.0129084432950205
SLC2A4,-1.144941266,0.0415443606241381
BEST4,-1.144737007,0.0652651840942019
IGFBP5,-1.143648667,0.0361742550735536
MIR4521,-1.143203935,0.0279452413128061
GPR174,-1.142410796,0.207947795961505
EHD2,-1.142228033,0.0171769585793498
PAMR1,-1.141811477,0.00773835971348818
KLHDC8B,-1.141699217,0.00718202915038973
COX7A1,-1.139860407,0.0107237030543591
ZNF844,-1.139618141,0.00439903251690435
FRRS1L,-1.139216546,0.0290223754021062
RHOQ,-1.138877411,0.00760908834853154
SPIB,-1.138183708,0.0892722045714009
MORN5,-1.138085501,0.0183033738930303
PLSCR4,-1.137151542,0.00683267166393035
GPNMB,-1.136038202,0.00315472699623258
ARMCX1,-1.136000075,0.00842885484113628
MYLK,-1.135665697,0.000998387987609547
GLP2R,-1.134957966,0.00385247140653521
KLF2,-1.134399563,0.00457318838250291
MT1X,-1.131620193,0.00962828395763881
UG0898H09,-1.130076256,0.0207908607532451
FBXL7,-1.129409316,0.00293665731194338
ARHGAP24,-1.128876842,0.00263821001755867
PKD2,-1.12837775,0.0173145891526503
KATNAL1,-1.125669926,0.0099559147237194
HBA1,-1.125608807,0.04720254523601
MBD5,-1.123072529,0.00562456571572637
TUBB6,-1.121508802,0.0194789067587349
ZNF532,-1.121171401,0.00995362760558053
CHST5,-1.120467508,0.114980593120276
#N/A,-1.120111496,0.061924967731553
KAT6B,-1.117581832,0.00052001555354612
TRNAI2,-1.117434299,0.00278929188666487
FAM13B,-1.117224423,0.00024912604733508
VIM,-1.117092275,0.00021003003677729
ILK,-1.11669047,0.0148429041424141
RAB30,-1.115037771,0.00250626215699589
NFASC,-1.112369724,0.0021341896325329
ZFP36,-1.111530032,0.0308306346702115
BAI3,-1.110584185,0.00371879161479823
CBX6,-1.110354642,0.00368145343021923
RSPO3,-1.109967437,0.00709261445912052
PGK1,1.108658146,0.000260047875427798
